Response ID,What is your current level of experience regarding DNA and genome sequencing? (BEFORE),What is your current level of understanding of hereditary/genetic health conditions? (BEFORE),How important do you think genetic testing is for one’s lifelong health? (BEFORE),How interested are you in participating in genome sequencing? (BEFORE),What is your current level of experience regarding DNA and genome sequencing? (AFTER),What is your current level of understanding of hereditary/genetic health conditions? (AFTER),How important do you think genetic testing is for one’s lifelong health? (AFTER),How interested are you in participating in genome sequencing? (AFTER)
1,4,4,3,3,5,5,4,4
2,2,3,3,4,4,4,5,5
3,4,1,2,2,5,1,3,2
4,2,3,4,2,4,4,5,3
5,1,3,2,3,1,4,3,5
6,1,5,2,3,1,5,3,3
7,1,1,5,3,3,1,5,4
8,4,2,4,5,5,4,5,5
9,3,4,1,2,4,5,2,2
10,2,2,4,4,4,2,5,5
11,3,2,2,3,4,3,3,3
12,5,2,5,3,5,4,5,3
13,3,3,4,3,4,4,5,4
14,4,4,1,2,5,5,2,3
15,2,3,3,3,3,5,4,4
16,4,3,2,1,5,4,3,2
17,2,4,4,4,3,5,5,5
18,2,1,3,2,2,2,4,4
19,2,3,1,2,4,4,2,3
20,4,4,4,2,5,5,4,3
21,3,3,3,3,4,4,3,4
22,3,3,1,2,4,5,1,3
23,3,3,3,4,4,4,3,5
24,1,2,3,4,3,4,4,5
25,4,1,2,2,5,1,3,3
26,5,3,3,3,5,5,3,4
27,3,3,3,2,5,4,3,3
28,1,4,1,4,2,4,2,4
29,1,2,3,3,2,2,4,4
30,4,4,3,5,5,5,5,5
31,2,3,4,3,4,3,5,3
32,3,2,4,2,4,2,5,3
33,3,2,3,2,4,3,4,2
34,2,2,2,4,2,4,2,5
35,2,3,3,3,3,4,4,4
36,1,4,2,3,1,5,4,4
37,4,3,2,3,5,3,3,3
38,4,3,4,3,5,4,5,4
39,3,3,4,1,4,3,5,2
40,2,2,3,1,3,3,4,2
41,3,2,1,3,3,4,2,5
42,5,3,2,4,5,4,2,5
43,3,5,3,4,4,5,4,5
44,3,5,2,2,4,5,4,3
45,5,4,4,4,5,5,5,4
46,2,3,3,2,2,4,4,2
47,3,4,4,3,5,4,5,4
48,4,3,4,3,4,4,5,4
49,1,5,2,3,3,5,4,5
50,3,3,4,2,4,4,5,4